e, G, j2j, j2u, logw1, spelldur1, u2j
1,0.15957,1,0,6.2419,5.2,0
1,0.93012,0,1,7.7776,5.35,0
1,0.61271,1,0,7.0384,7.6,0
1,0.6849,0,0,7.1595,60,0
1,0.1461,1,0,6.2064,55.15,0
1,0.40285,1,0,6.7078,42.7,0
1,0.49364,1,0,6.8507,49.9,0
1,0.97698,0,0,8.0995,60,0
1,0.37512,0,0,6.6629,60,0
1,0.29284,1,0,6.522,25.6,0
1,0.34682,1,0,6.6159,37.65,0
1,0.54934,1,0,6.9376,16.05,0
1,0.69927,0,1,7.1849,38.8,0
1,0.71308,1,0,7.2098,12.35,0
1,0.20644,0,0,6.352,60,0
1,0.50077,0,0,6.8618,60,0
1,0.66383,0,1,7.1232,3.25,0
0,-1,0,0,-1,1.65,1
1,0.53045,0,1,6.908,3.15,0
1,0.023543,1,0,5.6275,7.85,0
1,0.49305,1,0,6.8497,7.1,0
1,0.24232,0,1,6.4265,23.05,0
0,-1,0,0,-1,8.85,1
0,-1,0,0,-1,0.9,1
1,0.74398,0,1,7.2677,3.8,0
1,0.56076,0,0,6.9555,60,0
1,0.03836,1,0,5.7613,12.25,0
1,0.7352,0,0,7.2509,60,0
0,-1,0,0,-1,27.05,1
1,0.77069,0,1,7.3208,24.1,0
1,0.32986,0,1,6.5871,9.15,0
1,0.42843,0,0,6.7485,60,0
1,0.82671,0,1,7.4451,58.9,0
1,0.45958,1,0,6.7975,9.75,0
1,0.29322,0,1,6.5227,9.3,0
1,0.83746,0,0,7.4717,60,0
1,0.59777,1,0,7.0143,34.05,0
0,-1,0,0,-1,1.85,1
1,0.38659,0,1,6.6816,33.05,0
0,-1,0,0,-1,1.8,1
1,0.68675,0,1,7.1628,10.85,0
1,0.20027,1,0,6.3385,9.75,0
0,-1,0,0,-1,21.35,1
1,0.14034,1,0,6.1906,2.65,0
1,0.91987,0,1,7.7326,29.6,0
1,0.94588,0,1,7.858,53,0
1,0.77778,0,0,7.3355,60,0
1,0.20626,1,0,6.3517,8.5,0
1,0.24858,0,0,6.4389,60,0
1,0.44653,0,1,6.7771,8,0
1,0.49817,0,1,6.8577,29.9,0
0,-1,0,0,-1,2.05,1
1,0.85839,0,1,7.527,3.8,0
1,0.28133,1,0,6.5011,5.25,0
1,0.41326,0,0,6.7245,60,0
1,0.86836,0,1,7.5553,4.1,0
1,0.11003,1,0,6.0989,36.6,0
1,0.94546,0,0,7.8556,60,0
1,0.0013184,1,0,4.993,7.95,0
1,0.8487,0,1,7.5008,44.6,0
1,0.22994,1,0,6.4016,42.55,0
1,0.54072,0,0,6.9241,60,0
1,0.30219,1,0,6.5388,17.25,0
1,0.058817,1,0,5.8888,56.7,0
1,0.038851,1,0,5.765,1.45,0
1,0.15939,1,0,6.2414,8.3,0
1,0.41555,1,0,6.7281,13.7,0
0,-1,0,0,-1,24,1
1,0.90901,0,0,7.6894,60,0
1,0.65741,1,0,7.1123,58.7,0
0,-1,0,0,-1,5.2,1
1,0.48589,0,0,6.8386,60,0
1,0.54546,0,1,6.9315,36.05,0
1,0.39399,0,0,6.6935,60,0
1,0.38645,1,0,6.6813,23.95,0
1,0.83989,0,1,7.4779,18.9,0
0,-1,0,0,-1,0.05,1
1,0.33682,0,0,6.599,60,0
1,0.16672,1,0,6.2599,1.9,0
1,0.20569,1,0,6.3504,37.25,0
1,0.75014,0,1,7.2797,38,0
1,0.10729,1,0,6.0898,22.55,0
1,0.187,1,0,6.3085,45,0
0,-1,0,0,-1,4.5,1
1,0.61561,0,1,7.0431,58.6,0
1,0.44199,0,0,6.7699,60,0
1,0.15511,0,1,6.2304,21.8,0
1,0.81731,0,1,7.4227,3.4,0
1,0.30968,1,0,6.5521,50.7,0
1,0.16574,1,0,6.2575,1.3,0
0,-1,0,0,-1,5.45,1
1,0.90258,0,1,7.6656,39.65,0
1,0.97948,0,0,8.1294,60,0
1,0.79134,0,1,7.3643,12.9,0
1,0.5721,0,1,6.9734,7.35,0
1,0.19505,1,0,6.3268,0.25,0
1,0.09488,1,0,6.0462,18.1,0
1,0.81254,0,0,7.4116,60,0
1,0.15056,0,1,6.2184,10.35,0
0,-1,0,0,-1,0.85,1
1,0.49945,1,0,6.8597,58.15,0
1,0.21485,0,1,6.3701,2.7,0
1,0.1781,1,0,6.2876,3,0
1,0.64767,0,0,7.0959,60,0
1,0.25513,0,0,6.4517,60,0
0,-1,0,0,-1,0.35,1
1,0.94264,0,1,7.8401,4.4,0
1,0.83352,0,0,7.4618,60,0
1,0.27824,0,1,6.4954,17.15,0
1,0.61256,0,0,7.0382,60,0
1,0.058914,1,0,5.8893,13.6,0
1,0.77566,0,1,7.3311,33.15,0
1,0.75736,0,0,7.2939,60,0
1,0.87333,0,0,7.5699,60,0
1,0.24863,1,0,6.439,42.65,0
1,0.73924,0,0,7.2586,60,0
1,0.17748,0,0,6.2861,60,0
1,0.90505,0,0,7.6747,60,0
1,0.38854,0,0,6.6847,60,0
1,0.61417,0,0,7.0408,60,0
1,0.55227,0,0,6.9422,60,0
1,0.20495,0,1,6.3488,18.1,0
1,0.36275,0,0,6.6425,60,0
1,0.035282,1,0,5.7376,29.85,0
1,0.5893,0,0,7.0007,60,0
1,0.021765,1,0,5.607,18.4,0
1,0.47035,0,1,6.8144,33.5,0
1,0.016207,0,1,5.532,0.5,0
1,0.87886,0,1,7.5867,26.25,0
1,0.68908,0,0,7.1669,60,0
1,0.46353,0,0,6.8037,60,0
0,-1,0,0,-1,34.9,1
1,0.71534,0,0,7.2139,60,0
1,0.53747,0,1,6.919,50.6,0
1,0.70852,0,1,7.2015,30.15,0
1,0.23027,0,1,6.4023,10.95,0
1,0.28067,0,1,6.4998,18.9,0
1,0.59601,0,1,7.0115,8.8,0
1,0.71494,0,1,7.2132,11.05,0
1,0.21565,0,1,6.3718,2.45,0
1,0.98369,0,0,8.1875,60,0
1,0.99916,0,1,8.8126,18.9,0
1,0.15763,0,0,6.2369,60,0
0,-1,0,0,-1,17.4,1
0,-1,0,0,-1,33.75,1
1,0.1362,1,0,6.1789,34.35,0
0,-1,0,0,-1,11.25,1
0,-1,0,0,-1,3.05,1
1,0.60396,0,0,7.0243,60,0
0,-1,0,0,-1,7.15,1
1,0.68113,0,0,7.153,60,0
1,0.43316,1,0,6.756,43.65,0
1,0.86195,0,0,7.5369,60,0
1,0.90237,0,0,7.6649,60,0
1,0.33792,0,0,6.6009,60,0
1,0.20559,0,1,6.3502,30.4,0
1,0.84331,0,0,7.4867,60,0
1,0.50775,0,0,6.8726,60,0
1,0.49186,0,0,6.8479,60,0
0,-1,0,0,-1,7.4,1
1,0.34425,0,1,6.6116,41.85,0
1,0.88819,0,1,7.6163,54.75,0
1,0.97547,0,1,8.0828,7.95,0
1,0.32629,0,1,6.581,33.2,0
1,0.70012,0,1,7.1864,51,0
1,0.75239,0,0,7.2841,60,0
1,0.28065,0,1,6.4998,48.15,0
1,0.50432,0,0,6.8673,60,0
1,0.60138,1,0,7.0201,2.25,0
1,0.49273,0,0,6.8492,60,0
1,0.95041,0,1,7.8846,45.55,0
1,0.34589,0,1,6.6144,42.65,0
0,-1,0,0,-1,2.4,1
1,0.91933,0,0,7.7303,60,0
1,0.70596,0,1,7.1969,10.55,0
0,-1,0,0,-1,24.15,1
1,0.054055,0,0,5.8627,60,0
1,0.88404,0,1,7.603,10.55,0
0,-1,0,0,-1,5.35,1
1,0.39308,1,0,6.6921,28.55,0
1,0.78512,0,0,7.3509,60,0
1,0.81969,0,0,7.4283,60,0
1,0.27906,1,0,6.4969,3.1,0
0,-1,0,0,-1,18.45,1
1,0.69542,0,1,7.1781,49.15,0
1,0.88033,0,1,7.5913,25.85,0
1,0.53528,0,1,6.9155,44.65,0
1,0.29253,0,0,6.5215,60,0
1,0.6288,0,1,7.0647,38.7,0
1,0.60042,0,0,7.0186,60,0
1,0.9678,0,1,8.0091,28,0
1,0.95962,0,0,7.945,60,0
1,0.033136,1,0,5.72,18.4,0
1,0.44362,0,0,6.7725,60,0
1,0.76075,0,0,7.3007,60,0
1,0.41006,0,1,6.7193,32.85,0
1,0.48634,1,0,6.8393,57.55,0
1,0.13088,0,0,6.1636,60,0
1,0.40792,0,0,6.7159,60,0
1,0.14654,1,0,6.2076,29.15,0
1,0.50307,0,1,6.8653,15.5,0
1,0.4046,1,0,6.7106,35.95,0
1,0.74175,0,0,7.2634,60,0
1,0.16615,1,0,6.2585,39.65,0
1,0.45665,0,1,6.7929,17.6,0
1,0.27198,1,0,6.4837,4.45,0
1,0.9054,0,1,7.6759,54.75,0
1,0.77307,0,1,7.3257,0.3,0
1,0.25875,1,0,6.4586,15.8,0
1,0.31314,1,0,6.5581,5.45,0
1,0.42421,0,0,6.7419,60,0
1,0.93074,0,1,7.7805,34.4,0
1,0.39168,0,1,6.6898,31.85,0
1,0.93687,0,0,7.8101,60,0
1,0.73477,0,1,7.2501,28.85,0
1,0.61637,0,1,7.0444,9.1,0
0,-1,0,0,-1,0.35,1
1,0.14715,1,0,6.2093,8.35,0
1,0.8226,1,0,7.4352,39.7,0
1,0.23322,1,0,6.4083,5.4,0
1,0.19323,1,0,6.3227,5.35,0
1,0.79331,0,1,7.3685,59.3,0
1,0.78057,1,0,7.3413,14.2,0
1,0.21346,1,0,6.3672,18.85,0
1,0.70948,0,1,7.2033,34.2,0
1,0.21586,1,0,6.3723,11.8,0
1,0.98407,0,1,8.1934,20.75,0
0,-1,0,0,-1,5.4,1
1,0.4628,1,0,6.8026,3.95,0
1,0.32678,1,0,6.5818,54.85,0
1,0.62789,1,0,7.0632,3.15,0
1,0.6009,1,0,7.0193,5.65,0
1,0.19359,1,0,6.3235,19.6,0
1,0.13245,1,0,6.1682,30.05,0
1,0.76917,0,1,7.3177,54.25,0
1,0.99402,0,1,8.4216,39.15,0
1,0.64967,0,0,7.0993,60,0
1,0.18551,0,0,6.305,60,0
1,0.17712,0,0,6.2852,60,0
1,0.94272,0,0,7.8406,60,0
1,0.92963,0,1,7.7753,37.8,0
1,0.032142,1,0,5.7115,15.55,0
1,0.48975,0,1,6.8446,5.8,0
1,0.58999,1,0,7.0019,52.5,0
1,0.40486,1,0,6.711,8.95,0
1,0.79475,1,0,7.3717,24.45,0
0,-1,0,0,-1,13.4,1
1,0.90683,0,0,7.6812,60,0
1,0.75402,0,1,7.2873,56.4,0
1,0.44287,1,0,6.7713,41.4,0
1,0.017211,1,0,5.547,14.15,0
1,0.43861,0,1,6.7646,56.1,0
1,0.19626,0,0,6.3295,60,0
1,0.5385,1,0,6.9206,53.9,0
1,0.74362,0,1,7.267,12.05,0
1,0.50042,1,0,6.8612,6,0
1,0.72136,0,1,7.225,22.5,0
1,0.25472,0,1,6.4509,27.25,0
1,0.57265,0,0,6.9743,60,0
1,0.79086,0,0,7.3632,60,0
1,0.51471,0,1,6.8835,53.75,0
1,0.92254,0,1,7.7439,4.85,0
1,0.98911,0,1,8.2853,42.15,0
1,0.56395,0,0,6.9605,60,0
1,0.87454,0,0,7.5736,60,0
1,0.54803,0,1,6.9355,2.7,0
1,0.081489,1,0,5.9942,6.5,0
1,0.24368,0,0,6.4292,60,0
0,-1,0,0,-1,0.4,1
1,0.1165,1,0,6.1199,8.35,0
1,0.36629,1,0,6.6484,48,0
1,0.77951,0,0,7.3391,60,0
1,0.38592,0,1,6.6805,11.1,0
1,0.59016,0,1,7.0021,3.5,0
1,0.83591,0,1,7.4678,56.95,0
1,0.1023,1,0,6.0727,55.5,0
1,0.37732,1,0,6.6665,27.15,0
1,0.60057,0,0,7.0188,60,0
1,0.2666,0,0,6.4736,60,0
1,0.093038,1,0,6.0394,4.65,0
1,0.96067,0,0,7.9526,60,0
1,0.6378,0,0,7.0795,60,0
1,0.15444,1,0,6.2286,16.05,0
1,0.61061,1,0,7.035,6.9,0
1,0.49779,0,1,6.8571,9.85,0
1,0.86438,0,0,7.5438,60,0
1,0.24411,1,0,6.4301,12,0
1,0.53114,0,1,6.9091,26.15,0
1,0.60012,0,1,7.0181,43.6,0
1,0.42445,0,0,6.7422,60,0
1,0.018009,1,0,5.5584,0.55,0
1,0.58625,0,1,6.9959,51.85,0
1,0.97666,0,1,8.0959,33.05,0
1,0.95335,0,0,7.9028,60,0
1,0.40282,0,0,6.7078,60,0
1,0.78835,1,0,7.3578,14.6,0
1,0.16935,0,0,6.2664,60,0
1,0.27537,1,0,6.49,19.05,0
1,0.022257,0,0,5.6128,60,0
1,0.67889,0,0,7.1491,60,0
1,0.79879,0,0,7.3805,60,0
1,0.86689,0,0,7.551,60,0
1,0.76693,0,0,7.3132,60,0
1,0.61861,0,0,7.048,60,0
1,0.37612,1,0,6.6645,14.3,0
1,0.59087,0,0,7.0033,60,0
1,0.48945,0,1,6.8441,57.3,0
0,-1,0,0,-1,6.2,1
1,0.015036,1,0,5.5135,7.05,0
1,0.10731,1,0,6.0899,16.65,0
1,0.37737,1,0,6.6666,14.9,0
0,-1,0,0,-1,5.3,1
1,0.78733,0,0,7.3556,60,0
1,0.64382,0,0,7.0895,60,0
1,0.95434,0,0,7.9092,60,0
1,0.42233,0,0,6.7389,60,0
1,0.49323,0,0,6.85,60,0
1,0.68808,0,0,7.1651,60,0
1,0.44927,0,0,6.7814,60,0
1,0.59024,0,1,7.0023,32.05,0
0,-1,0,0,-1,1.6,1
1,0.4577,1,0,6.7946,40.85,0
1,0.30295,0,1,6.5402,1.95,0
1,0.76003,1,0,7.2993,38.25,0
1,0.58734,0,1,6.9976,2.5,0
1,0.73263,0,1,7.2461,1.45,0
1,0.36551,0,1,6.6471,31.35,0
1,0.66924,0,0,7.1324,60,0
1,0.10272,1,0,6.0742,4.5,0
1,0.92878,0,1,7.7715,6.45,0
1,0.57904,0,1,6.9844,15.8,0
1,0.6448,0,0,7.0912,60,0
1,0.49738,0,0,6.8565,60,0
1,0.17883,1,0,6.2893,37.4,0
0,-1,0,0,-1,1.2,1
1,0.12346,1,0,6.1415,7.45,0
1,0.27118,0,1,6.4822,9.35,0
1,0.7868,0,1,7.3545,10.4,0
1,0.33186,1,0,6.5905,24.55,0
1,0.011795,1,0,5.4547,16.5,0
1,0.22711,1,0,6.3958,4.5,0
1,0.44448,0,1,6.7739,50.05,0
1,0.19904,1,0,6.3358,23.85,0
1,0.49755,1,0,6.8568,52.1,0
1,0.15891,1,0,6.2402,4.3,0
1,0.83739,1,0,7.4715,1.6,0
1,0.28098,1,0,6.5004,35.2,0
1,0.82231,0,1,7.4345,32.8,0
1,0.81753,0,1,7.4232,8.95,0
1,0.46426,0,0,6.8048,60,0
1,0.44012,0,0,6.767,60,0
1,0.95045,0,0,7.8848,60,0
1,0.023005,1,0,5.6214,5.05,0
1,0.014349,1,0,5.502,1.85,0
1,0.94959,0,0,7.8796,60,0
1,0.13021,1,0,6.1617,11.45,0
1,0.11239,1,0,6.1067,12.2,0
1,0.35543,1,0,6.6303,18.3,0
1,0.96088,0,1,7.9542,30.25,0
1,0.83401,0,0,7.463,60,0
1,0.12142,1,0,6.1353,1.95,0
1,0.44347,0,0,6.7723,60,0
1,0.56657,0,0,6.9647,60,0
1,0.77139,0,1,7.3223,28.05,0
1,0.56422,1,0,6.961,12.1,0
1,0.76136,0,1,7.3019,17.9,0
1,0.48254,1,0,6.8334,9.85,0
1,0.15957,1,0,6.2419,14.35,0
1,0.63985,0,0,7.0829,60,0
1,0.98926,0,0,8.2885,60,0
1,0.82979,0,0,7.4526,60,0
1,0.062242,1,0,5.9065,7.2,0
1,0.56535,1,0,6.9628,46.7,0
1,0.24557,1,0,6.433,10.25,0
1,0.16687,1,0,6.2603,39.4,0
1,0.48174,0,0,6.8321,60,0
1,0.8289,0,1,7.4504,9.95,0
1,0.60234,0,1,7.0217,51.25,0
1,0.34793,1,0,6.6178,32.35,0
1,0.74876,1,0,7.277,12.6,0
1,0.82983,0,0,7.4527,60,0
1,0.60523,0,1,7.0263,55.5,0
1,0.49747,0,0,6.8566,60,0
1,0.12205,0,1,6.1372,7.5,0
1,0.84326,0,1,7.4865,43.55,0
1,0.27634,0,0,6.4918,60,0
1,0.14719,1,0,6.2094,44.65,0
1,0.5847,1,0,6.9934,24.5,0
1,0.17164,1,0,6.272,35.15,0
1,0.99548,0,0,8.482,60,0
1,0.09594,0,1,6.0501,13.35,0
1,0.28246,0,0,6.5031,60,0
1,0.30958,1,0,6.5519,42.45,0
1,0.45893,1,0,6.7965,46.25,0
1,0.2964,1,0,6.5284,12.35,0
1,0.65094,0,0,7.1014,60,0
1,0.503,1,0,6.8652,13.3,0
0,-1,0,0,-1,1.3,1
1,0.68578,0,0,7.1611,60,0
1,0.015962,1,0,5.5282,11.55,0
0,-1,0,0,-1,4.75,1
1,0.12791,0,0,6.1549,60,0
1,0.48772,0,0,6.8414,60,0
1,0.25089,1,0,6.4434,55.65,0
1,0.8962,0,0,7.6432,60,0
1,0.7153,0,0,7.2139,60,0
1,0.15794,1,0,6.2377,56.45,0
1,0.79031,0,0,7.362,60,0
1,0.44022,0,1,6.7672,5.2,0
1,0.3769,0,0,6.6658,60,0
1,0.6249,0,1,7.0583,0.6,0
1,0.67857,1,0,7.1485,49.8,0
1,0.8007,0,0,7.3848,60,0
1,0.41477,0,1,6.7269,2.65,0
1,0.17212,0,1,6.2732,8.3,0
1,0.45971,0,1,6.7977,23.85,0
1,0.73025,0,0,7.2416,60,0
0,-1,0,0,-1,15.9,1
0,-1,0,0,-1,20.35,1
1,0.16667,1,0,6.2598,11.1,0
1,0.84716,0,1,7.4967,53.3,0
1,0.94742,0,0,7.8668,60,0
1,0.091195,1,0,6.0325,18,0
1,0.75414,0,1,7.2876,34.95,0
1,0.42801,1,0,6.7479,7.15,0
1,0.52213,0,1,6.895,21.65,0
1,0.16914,1,0,6.2659,37.55,0
1,0.073765,1,0,5.9611,2.85,0
1,0.97981,0,1,8.1336,8.4,0
1,0.40283,1,0,6.7078,18.45,0
0,-1,0,0,-1,1.1,1
1,0.59029,1,0,7.0023,18.6,0
1,0.99508,0,0,8.4639,60,0
1,0.37494,1,0,6.6626,34.65,0
1,0.34212,0,1,6.608,5.9,0
1,0.012263,1,0,5.464,37.95,0
1,0.92697,0,1,7.7633,16.45,0
1,0.1721,0,0,6.2731,60,0
1,0.54136,0,1,6.9251,28.9,0
1,0.61837,0,0,7.0476,60,0
1,0.76295,0,1,7.3051,4.35,0
1,0.10144,1,0,6.0697,25.05,0
1,0.84931,0,1,7.5024,23.75,0
1,0.99673,0,1,8.5496,49.35,0
1,0.17582,0,0,6.2821,60,0
1,0.55044,0,1,6.9393,12.55,0
1,0.61289,1,0,7.0387,4.25,0
1,0.40099,0,0,6.7048,60,0
1,0.19061,0,0,6.3168,60,0
1,0.98785,0,0,8.2594,60,0
1,0.93266,0,0,7.7895,60,0
1,0.81608,0,0,7.4198,60,0
1,0.912,0,1,7.7009,48.85,0
1,0.15853,0,1,6.2392,58.35,0
1,0.76392,0,0,7.3071,60,0
1,0.84772,0,0,7.4982,60,0
0,-1,0,0,-1,5.35,1
0,-1,0,0,-1,8.55,1
1,0.31712,0,1,6.5651,9.6,0
1,0.12784,0,1,6.1547,6.7,0
1,0.95166,0,1,7.8922,4.1,0
1,0.30215,1,0,6.5387,46.9,0
1,0.58487,0,1,6.9937,35.5,0
1,0.68826,0,0,7.1654,60,0
1,0.75751,0,1,7.2942,33.6,0
1,0.13739,0,0,6.1823,60,0
1,0.1979,0,1,6.3332,10.85,0
1,0.48409,0,0,6.8358,60,0
1,0.37721,0,1,6.6663,5.5,0
1,0.35378,0,0,6.6276,60,0
1,0.85858,0,0,7.5275,60,0
1,0.90807,0,0,7.6859,60,0
1,0.097928,1,0,6.0573,14.25,0
1,0.72868,0,1,7.2387,55.7,0
1,0.51982,0,0,6.8914,60,0
1,0.43034,1,0,6.7516,30.3,0
1,0.32893,1,0,6.5855,17.15,0
1,0.57376,1,0,6.976,0.15,0
1,0.5552,0,1,6.9468,28.75,0
1,0.86978,0,1,7.5594,51.35,0
1,0.28919,1,0,6.5154,38.95,0
1,0.63677,0,1,7.0778,22.05,0
1,0.38296,1,0,6.6757,47.9,0
1,0.25676,0,1,6.4548,15.7,0
1,0.46487,0,1,6.8058,56.65,0
1,0.6403,0,1,7.0837,10.55,0
1,0.92237,0,0,7.7432,60,0
1,0.35248,0,1,6.6254,1.35,0
1,0.56914,1,0,6.9687,56,0
1,0.45703,1,0,6.7935,46.5,0
1,0.94252,0,1,7.8395,26.15,0
1,0.17651,1,0,6.2838,27.4,0
1,0.83457,1,0,7.4644,4.55,0
1,0.017603,1,0,5.5527,1.5,0
1,0.87,0,0,7.5601,60,0
1,0.34405,1,0,6.6113,2.05,0
1,0.69662,0,0,7.1802,60,0
1,0.58623,0,1,6.9959,13.65,0
1,0.13696,0,1,6.1811,31.65,0
1,0.18666,1,0,6.3077,10.15,0
1,0.60745,0,1,7.0299,8.8,0
1,0.81884,0,1,7.4263,59.05,0
1,0.42669,0,1,6.7458,4,0
1,0.52808,0,1,6.9043,37,0
1,0.74805,0,1,7.2756,2.15,0
0,-1,0,0,-1,20.6,1
1,0.32194,0,1,6.5735,13.1,0
1,0.45409,0,0,6.7889,60,0
0,-1,0,0,-1,14.05,1
1,0.51265,0,1,6.8803,44.85,0
1,0.60451,0,1,7.0251,4.55,0
1,0.33931,0,1,6.6032,39.85,0
1,0.99976,0,0,9.0256,60,0
1,0.6928,0,1,7.1734,11.9,0
1,0.11959,0,1,6.1296,41,0
1,0.24066,1,0,6.4233,17.95,0
1,0.17334,0,0,6.2762,60,0
1,0.6057,0,0,7.0271,60,0
1,0.15011,1,0,6.2172,7.1,0
1,0.38306,0,1,6.6758,17.45,0
1,0.9103,0,1,7.6944,57.35,0
1,0.097328,1,0,6.0551,6.35,0
1,0.29835,0,1,6.532,30.7,0
1,0.88613,0,1,7.6096,4.9,0
1,0.89289,0,0,7.6319,60,0
1,0.32592,0,0,6.5803,60,0
1,0.30182,1,0,6.5381,4.45,0
0,-1,0,0,-1,24.95,1
1,0.60609,0,0,7.0277,60,0
1,0.94821,0,0,7.8714,60,0
1,0.55582,0,1,6.9477,32.9,0
1,0.10005,1,0,6.0649,10.15,0
1,0.52838,0,1,6.9048,0.5,0
1,0.93047,0,1,7.7792,29.25,0
1,0.1617,1,0,6.2473,6.7,0
1,0.80491,1,0,7.3942,11.35,0
1,0.38504,0,0,6.6791,60,0
1,0.69215,0,0,7.1723,60,0
1,0.94549,0,0,7.8558,60,0
0,-1,0,0,-1,26.95,1
1,0.89965,0,0,7.6552,60,0
1,0.67387,0,0,7.1404,60,0
1,0.4458,0,1,6.7759,29.45,0
1,0.94812,0,0,7.8709,60,0
1,0.76559,0,0,7.3104,60,0
1,0.5776,0,1,6.9821,40.9,0
1,0.43223,1,0,6.7546,51.9,0
1,0.76595,0,0,7.3112,60,0
1,0.66443,0,1,7.1242,14.45,0
1,0.73567,0,0,7.2518,60,0
1,0.16269,1,0,6.2498,6.35,0
1,0.89722,0,1,7.6467,0.15,0
1,0.26115,0,0,6.4632,60,0
1,0.96104,0,1,7.9554,41.5,0
1,0.6301,0,0,7.0668,60,0
1,0.94196,0,1,7.8365,40.85,0
1,0.1563,0,1,6.2335,12.1,0
1,0.071125,1,0,5.9492,12.35,0
1,0.97515,0,0,8.0794,60,0
0,-1,0,0,-1,14.3,1
1,0.42683,0,1,6.746,44.9,0
1,0.96557,0,0,7.9904,60,0
1,0.13171,1,0,6.166,10,0
0,-1,0,0,-1,1.6,1
1,0.38124,0,1,6.6729,55.65,0
0,-1,0,0,-1,10.55,1
1,0.47142,0,1,6.816,16.8,0
1,0.5304,1,0,6.9079,47.45,0
1,0.94456,0,0,7.8506,60,0
1,0.35513,0,0,6.6298,60,0
1,0.73072,0,1,7.2425,48.95,0
0,-1,0,0,-1,3.25,1
1,0.72702,0,1,7.2356,3.2,0
0,-1,0,0,-1,19.35,1
0,-1,0,0,-1,2.3,1
1,0.067616,0,1,5.9329,19.45,0
1,0.3924,0,0,6.691,60,0
1,0.022828,0,1,5.6194,0.9,0
1,0.6841,0,0,7.1582,60,0
1,0.82134,0,1,7.4322,18.9,0
1,0.64487,0,0,7.0913,60,0
1,0.63919,0,0,7.0818,60,0
1,0.84283,0,0,7.4854,60,0
0,-1,0,0,-1,13.15,1
1,0.31277,1,0,6.5575,49.2,0
1,0.45721,1,0,6.7938,0.4,0
1,0.49552,0,0,6.8536,60,0
1,0.009203,1,0,5.3966,2.15,0
1,0.93569,0,0,7.8042,60,0
1,0.53859,1,0,6.9207,55.1,0
1,0.72975,0,1,7.2407,11.7,0
1,0.86854,0,1,7.5558,1.4,0
1,0.74104,0,1,7.2621,28.85,0
1,0.17603,1,0,6.2826,14,0
1,0.64434,0,1,7.0904,20.5,0
1,0.63878,0,0,7.0811,60,0
1,0.82199,0,0,7.4337,60,0
1,0.38138,1,0,6.6731,4.9,0
1,0.88615,0,1,7.6097,26.5,0
0,-1,0,0,-1,32.8,1
